Data	Site	Group	Indel
H1_1T	H1	T	22.25
H1_2T	H1	T	26.79
H1_3T	H1	T	19.87
H1_1M	H1	M	0.35
H1_2M	H1	M	0.47
H1_3M	H1	M	0.35
H2_1T	H2	T	19.11
H2_2T	H2	T	21.67
H2_3T	H2	T	10.46
H2_1M	H2	M	0.35
H2_2M	H2	M	0.46
H2_3M	H2	M	0.34
H3_1T	H3	T	28.42
H3_2T	H3	T	30.29
H3_3T	H3	T	19.19
H3_1M	H3	M	0.86
H3_2M	H3	M	0.16
H3_3M	H3	M	0.09
H4_1T	H4	T	43.85
H4_2T	H4	T	42.65
H4_3T	H4	T	25.83
H4_1M	H4	M	1.79
H4_2M	H4	M	1.7
H4_3M	H4	M	1.33
H5_1T	H5	T	37.37
H5_2T	H5	T	37.77
H5_3T	H5	T	24.52
H5_1M	H5	M	1.64
H5_2M	H5	M	1.51
H5_3M	H5	M	1.16
